acid,acname,asid,n_ae,first_date,last_date
C14112,K,C4763,13,2012-10-05,2012-12-28
C14114,絶園のテンペスト ～THE CIVILIZATION BLASTER～,C4764,24,2012-10-05,2013-03-29
C14117,ひだまり スケッチ × ハニカム,C3146,12,2012-10-05,2012-12-21
C14119,ぴっちぴち♪ しずくちゃん,C3917,9,2012-10-05,2012-11-30
C14121,武装神姫,C4720,12,2012-10-05,2012-12-21
C14123,ToLOVEる ダークネス,C3342,12,2012-10-06,2012-12-29
C14125,はいたい 七葉,C4722,13,2012-10-06,2012-12-29
C14127,バクマン。[第3期],C4435,27,2012-09-23,2013-03-30
C14130,CØDE: BREAKER,C4725,13,2012-10-07,2012-12-30
C14132,好きっていいなよ。,C4726,8,2012-10-07,2012-11-25
C14134,てーきゅう,C4727,13,2012-10-07,2012-12-30
C14136,マギ The labyrinth of magic,C4758,26,2012-09-30,2013-03-31
C14138,IXION SAGA Dimension Transfer イクシオン サーガ DT,C4761,26,2012-09-25,2013-04-01
C14140,ガールズ ＆ パンツァー,C4728,14,2012-10-09,2013-03-25
C14142,Robotics;Notes,C4730,22,2012-10-12,2013-03-22
C14144,ロンゴマックス　論語MAX,C4731,13,2012-10-15,2012-11-05
C14146,総合メディア開発　コンテンツ警備隊,C4732,28,2012-10-19,2013-06-21
C14150,頭文字[[イニシャル]]D Fifth Stage,C2127,14,2012-11-09,2013-05-10
C14156,Fate/ kaleid liner プリズマ★イリヤ,C3797,10,2013-07-13,2013-09-14
C14158,うたの☆プリンスさまっ♪ マジ LOVE 2000!,C4466,13,2013-04-04,2013-06-27
C14160,ハイスクール DXD NEW,C4488,12,2013-07-07,2013-09-22
C14162,たまこまーけっと,C4786,12,2013-01-10,2013-03-28
C14164,百花繚乱 サムライブライド,C4430,12,2013-04-05,2013-06-21
C14166,たまゆら ～もあぐれっしぶ～,C3702,12,2013-07-03,2013-09-18
C14168,ロウきゅーぶ! SS,C4572,13,2013-07-05,2013-09-27
C14170,Free!,C4785,12,2013-07-04,2013-09-26
C14172,進撃の巨人 attack on titan,C4784,26,2013-04-07,2013-09-29
C14174,有頂天家族,C4783,13,2013-07-07,2013-09-29
C14176,キューティクル探偵 因幡,C4768,12,2013-01-04,2013-03-22
C14178,ささみさん＠がんばらない,C4774,12,2013-01-11,2013-03-29
C14250,ゆゆ式,C4775,12,2013-04-10,2013-06-26
C14252,這いよれ! ニャル子さんW,C4410,12,2013-04-08,2013-07-01
C14254,Courtesy of ZETTAI KAREN CHILDREN THE UNLIMITED 兵部京介,C3358,12,2013-01-08,2013-03-26
C14256,波打際の むろみさん,C4776,13,2013-04-07,2013-06-30
C14258,僕は友達が少ない NEXT,C4595,12,2013-01-11,2013-03-29
C14260,私がモテないのは どう考えても お前らが悪い!,C4777,12,2013-07-09,2013-09-24
C14280,琴浦 さん,C4779,12,2013-01-11,2013-03-29
C14282,はたらく魔王さま!,C4780,13,2013-04-04,2013-06-27
C14525,とある魔術の 禁書目録[インデックスⅡ,C3424,24,2010-10-08,2011-03-25
C14528,豆腐姉妹,C5522,5,2010-08-01,2010-08-29
C14529,殿といっしょ 1分間劇場,C3703,12,2010-07-06,2010-09-21
C14530,忍者玉丸 - 東海道五十三次 -,C3353,26,2009-12-26,2010-06-26
C14531,オーバン STAR-RACERS,C5335,26,2006-09-23,2007-03-25
C14532,ガーゴイルズ,C5336,64,2005-12-02,2007-11-30
C14533,忍たま 乱太郎[第18期],C1462,90,2010-03-29,2010-09-17
C14534,HARD★TALK★CAFE,C5524,5,2010-08-03,2010-08-31
C14535,漂流家族　昭和パンダ物語[第1期],C5525,5,2009-12-14,2009-12-18
C14536,漂流家族　昭和パンダ物語[第2期],C5525,5,2010-08-02,2010-08-06
C14537,星新一 ショートショート 新春スペシャル,C4311,6,2010-01-02,2010-01-02
C14538,WHITE ALBUM[第2期],C3481,13,2009-10-03,2009-12-25
C14539,見えるぞ! ニッポン,C5526,6,2009-12-01,2010-03-09
C14540,モリゾー・キッコロ　森へいこうよ!　特別編　上海へいこうよ!,C2841,3,2010-03-28,2010-06-20
C14541,森のレシオ,C5527,9,2010-03-26,2016-09-19
C14542,世界の絵本から ～SWEDEN編～ Olle Eksell in Motion,C5458,13,2010-01-02,2010-03-27
C14543,Sebatan,C5519,9,2010-04-10,2010-06-05
C14544,Sebatan　[第2期],C5519,12,2010-07-03,2010-09-25
C14545,Sebatan　[第3期],C5519,5,2010-10-02,2010-11-27
C14547,体育　倉庫　ジムくんと　ゆかいな　仲間たち[*第2期],C5459,15,2010-06-14,2010-10-11
C14548,太宰 治 短編小説集[第2期] 畜犬談,C5460,3,2010-03-24,2010-03-26
C14549,太宰 治　短編小説集　[第3期],C5460,3,2010-09-27,2010-09-29
C14550,ど～する?　地球のあした,C5521,6,2009-12-02,2010-03-10
C14551,U.H.O.　フューチャーレスキュー2061　[第6期],C2946,5,2009-12-10,2010-02-04
C14552,レスキュー YoYo[よーよー],C5528,1,2010-02-15,2010-02-15
C14553,Rose O Neill Kewpie,C5529,26,2009-12-02,2010-06-23
C14554,WONDER GABBY,C5530,6,2009-12-01,2010-03-09
C14555,[アドリブアニメ],C5531,37,2011-10-16,2013-03-17
C14556,とっとこ ハム太郎 [スペシャルアニメ],C2341,4,2012-04-07,2012-04-28
C14557,夏色キセキ,C5573,12,2012-04-06,2012-06-29
C14558,帰宅部 活動記録,C5609,12,2013-07-05,2013-10-11
C14559,義風堂々! 兼続と慶次,C5610,25,2013-07-03,2013-12-18
C14560,スーパーロボット モンキー チーム ハイパー フォース GO!,C5337,52,2005-12-02,2007-05-13
C14561,ディノブレイカー,C5338,40,2005-12-06,2006-09-19
C14562,MONSTER[特別編],C2866,2,2005-12-28,2005-12-29
C14564,うら最,C5340,24,2003-10-02,2004-03-18
C14565,X-MEN エボリューション,C4471,43,2002-12-03,2004-08-21
C14566,エルティングビル・ クラブ,C5341,1,2003-08-03,2003-08-03
C14567,快傑ゾロ[未放送分],C1874,6,2003-08-29,2003-09-19
C14569,House of Mouse,C5345,45,2002-10-03,2003-08-14
C14570,ペコラ[新],C2106,26,2002-10-06,2003-03-30
C14571,ヘラクレス,C4112,65,2003-11-19,2004-08-12
C14572,ポピーザぱフォーマーカウントダウンスペシャル,C2354,7,2002-12-31,2003-01-01
C14573,ミッドナイト ホラースクール,C5346,26,2003-10-01,2004-03-24
C14574,わがまま☆フェアリー ミルモでポン![第2期],C2599,26,2003-04-05,2003-09-27
C14575,The World ofGOLDENEGGS[第2期],C5347,13,2006-08-05,2006-12-09
C14576,The World of GOLDEN EGGS,C5347,13,2005-01-07,2005-04-01
C14577,スペース・レンジャー バズ・ライトイヤー,C5348,62,2004-05-13,2007-01-19
C14579,こちら葛*飾区亀有公園前派出所[10月SP],C6832,2,2008-10-26,2008-11-02
C14580,ブーンドックス シーズン2,C5443,15,2008-06-02,2008-09-08
C14581,PERSONA-- trinity soul --,C3321,27,2008-01-05,2008-09-24
C14582,朝バナ子ちゃんダイエット川柳,C5444,12,2009-01-10,2009-03-28
C14583,あのねのとみぞう,C5446,6,2009-04-25,2009-05-04
C14584,いすのまちのコッシー,C5447,57,2009-03-31,2016-11-01
C14585,いない いない ばあっ![第14期],C4102,115,2009-03-30,2010-03-19
C14586,ウチュレイ!,C5448,12,2009-08-09,2009-09-19
C14587,おじゃる丸[第12期],C2158,90,2009-03-30,2010-01-20
C14588,大人のためのアニマイム物語,C5449,6,2009-01-05,2009-03-16
C14589,鬼警部 アンパン,C5450,2,2009-08-19,2010-04-26
C14590,オリガのドキドキイングリッシュ,C3148,6,2009-02-21,2009-03-28
C14591,KAWASAKI Frontale × 天体 戦士 サンレッド,C3420,4,2009-02-06,2009-02-27
C14593,キャベツ畑のサンマ,C5452,12,2009-01-10,2009-03-28
C14594,きょうの料理 ビギナーズ[第3期],C4287,96,2009-03-30,2010-03-11
C14595,京浜家族THE STORY OF A COMMON FAMILY,C5453,30,2009-01-24,2009-08-15
C14596,恋時雨,C5454,6,2009-09-17,2009-09-24
C14597,さくらんBOY DT,C5455,11,2009-01-15,2009-03-26
C14599,世界の絵本から ～オランダ編～ Lena LeNA,C5458,13,2009-07-04,2009-09-26
C14600,世界の絵本から ～韓国編～ 車に乗った太陽,C5458,13,2009-10-03,2009-12-26
C14601,体育 倉庫 ジムくんと ゆかいな 仲間たち,C5459,8,2009-07-05,2009-08-30
C14602,太宰 治生誕百年短編小説集,C5460,2,2009-10-13,2009-10-15
C14603,闘え!!ミミッチ ミッチー,C5461,6,2009-01-10,2009-02-14
C14604,ダンカイカレー中辛,C5462,17,2009-04-06,2009-07-27
C14605,探偵Xからの挑戦状![第8話]靴の中の死体-クリスマスの密室-,C5463,1,2009-05-20,2009-05-20
C14606,天体 戦士 サンレッド[第2期],C3420,26,2009-10-03,2010-03-27
C14607,どうする? しおん君,C5464,32,2009-04-06,2010-11-22
C14609,土管くん アナザーストーリー,C4277,1,2009-03-21,2009-03-21
C14612,ななみちゃん[第6期],C2912,16,2009-06-14,2009-09-27
C14614,忍たま乱太郎[第17期],C1462,90,2009-03-30,2009-07-31
C14615,NAKED WOLVES,C5468,52,2009-04-06,2010-04-05
C14616,ひよこねこ,C5469,3,2009-04-10,2009-04-24
C14617,Boostudio,C5470,10,2009-01-17,2009-03-21
C14618,ブクブクアワー,C5471,3,2009-05-29,2009-07-31
C14619,WHITE ALBUM2,C3481,13,2013-10-06,2013-12-29
C14620,MEAT OR DIE [YANS! GANS!],C5472,12,2009-10-02,2010-10-22
C14621,無敵!素敵!ハイチュウキング,C3148,4,2009-03-07,2009-03-28
C14622,よいこのアニメことなかれヒーローじんじゃーまん,C5473,12,2009-01-05,2009-03-23
C14623,La VilaineLuluおてんばルル,C5474,13,2009-04-04,2009-06-27
C14624,わいもくん きいろいかおしてババンバン,C3715,30,2009-10-06,2010-11-30
C14625,笑いのSHOW学校,C5475,20,2009-03-30,2010-03-08
C14626,IRONMAN,C3643,12,2010-10-01,2010-12-17
C14627,いない いない ばあっ![第15期],C4102,110,2010-03-29,2011-03-25
C14628,ウチュレイ![2010夏],C5448,18,2010-08-03,2010-09-01
C14629,EDDIE THE FAST BREAK,C5505,5,2009-12-21,2016-07-18
C14630,おかわり3姉妹,C3366,28,2010-04-06,2010-12-07
C14631,おべとも学園[第2期],C3340,12,2009-12-01,2010-03-16
C14632,おべとも学園[第3期],C3340,40,2010-03-30,2011-03-15
C14633,株式会社ZOO,C5506,12,2010-01-20,2010-08-30
C14634,カルルと ふしぎな塔[シリーズ],C4418,26,2010-10-08,2014-01-21
C14635,起業忍者 イガ社長と 秘書ガーコ,C5507,20,2010-04-08,2010-09-16
C14636,きょうの料理 ビギナーズ[第4期],C4287,74,2010-03-29,2010-11-30
C14637,クッキンアイドル アイ!マイ! まいん![第2期],C3495,81,2010-03-29,2011-03-18
C14638,クノーチェ,C5508,20,2010-04-01,2011-03-17
C14640,ケツ犬,C5510,13,2010-04-01,2010-04-04
C14641,月間ショート劇場★★　侵略派遣美少女　ミリ,C5511,3,2010-04-10,2010-06-05
C14643,コケッコーさん,C5514,26,2009-12-06,2010-06-27
C14645,こたつたこ,C5465,7,2010-01-20,2010-12-08
C14646,最強武将伝 三国演義,C3647,48,2010-04-04,2011-03-27
C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],C5516,4,2010-07-27,2010-07-30
C14648,10秒チョットのアニメ,C5517,27,2010-10-04,2010-11-23
C14649,[ストロー びゅるる],C5518,5,2010-03-22,2016-03-24
C14651,デュエル・マスターズ ビクトリー V3,C2650,51,2013-04-06,2014-03-29
C14652,とある科学の 超電磁砲[レールガン] S,C3424,23,2013-04-12,2013-09-20
C14653,東京レイヴンズ,C5657,24,2013-10-09,2014-03-26
C14654,AKB0048[next stage],C4482,13,2013-01-06,2013-03-31
C14655,エんエんニコリ,C5595,1,2013-01-18,2013-01-18
C14656,おじゃる丸[第16期],C2158,70,2013-04-01,2013-11-15
C14657,おとぎのくにの　イチジョウマン　7,C5596,2,2013-08-06,2013-09-08
C14658,大人 女子 の アニメ タイム[第2期],C4588,3,2013-03-10,2013-03-24
C14659,踊り子【クリノッペ】,C5597,26,2013-05-10,2013-11-29
C14660,ダンボール 戦機 WARS[ウォーズ],C4476,37,2013-04-03,2013-12-25
C14661,ちはやふる 2,C4469,25,2013-01-12,2013-06-29
C14662,ぢべたぐらし あひるの生活,C5646,27,2013-03-31,2013-11-24
C14663,超次元ゲイム ネプテューヌ THE ANIMATION,C5647,12,2013-07-12,2013-09-27
C14664,直球表題 ロボットアニメ,C5648,12,2013-02-06,2013-04-24
C14665,ちょぼらうにょぽみ劇場 あいまい みー,C5649,13,2013-01-03,2013-03-28
C14666,凪のあすから,C5658,26,2013-10-03,2014-04-03
C14667,にゅるにゅる!! KAKUSENくん,C5659,21,2013-07-09,2013-11-26
C14668,忍者 ハットリくん[インド版],C5601,37,2013-05-05,2014-12-22
C14669,忍たま 乱太郎 [第21期],C1462,76,2013-03-20,2013-07-12
C14670,のんのんびより,C5660,12,2013-10-08,2013-12-24
C14671,[リコーダー　と　ランドセル ミ★],C4665,13,2013-07-01,2013-09-23
C14673,いない いない ばあっ![第16期],C4102,110,2011-03-28,2012-03-23
C14675,おべとも学園[第4期],C3340,40,2011-03-29,2012-03-27
C14676,おんがく♪ 世界りょこう,C5533,3,2011-03-07,2012-12-21
C14677,額縁をくぐって物語の中へ　[スペシャル],C4575,5,2011-01-03,2011-01-07
C14678,学校の コワイ うわさ 新 花子さんがきた!!,C1631,33,2011-03-24,2011-11-01
C14679,神のみぞ知るセカイⅡ,C3694,12,2011-04-12,2011-06-28
C14681,ZoobLes!,C5535,8,2011-10-05,2011-11-23
C14683,だじゃれ パラパラ,C5536,18,2011-04-01,2013-04-03
C14684,デジモン　クロスウォーズ　悪のデスジェネラルと七つの王国,C2231,26,2011-04-03,2011-09-25
C14685,デジモン クロスウォーズ 時を駆ける少年ハンターたち,C2231,25,2011-10-02,2012-03-25
C14687,爆丸 バトルブローラーズ ガンダリアンインベーダーズ,C3185,45,2011-03-26,2012-01-29
C14688,はっぴ～カッピ,C5538,26,2011-04-06,2011-10-05
C14689,はなかっぱ[第2期],C3640,68,2011-03-28,2011-12-01
C14691,ペンギン　の問題　DX,C3347,26,2011-04-02,2011-09-24
C14692,ペンギン の問題 DX?,C3347,26,2011-10-01,2012-03-31
C14693,[ムルムル先生の裏未来日記],C4599,16,2011-10-10,2012-04-09
C14695,アイカツ! アイドルカツドウ!,C5540,179,2012-10-08,2016-03-31
C14696,秋葉工房　日本おもしろ昔話,C5541,8,2011-12-04,2012-01-29
C14697,新しい生物,C5465,5,2011-12-02,2013-09-21
C14698,Another,C5542,12,2012-01-10,2012-03-27
C14699,あらしのよるに ひみつのともだち,C3076,26,2012-04-04,2012-09-26
C14701,宇宙兄弟,C5543,101,2012-04-01,2014-03-22
C14702,うぽって!!,C5544,10,2012-07-05,2012-09-06
C14703,エリアの騎士,C5546,38,2012-01-07,2012-09-29
C14704,おじゃる丸[第15期],C2158,91,2012-03-20,2012-11-30
C14705,織田信奈の野望,C5547,13,2012-07-09,2012-10-01
C14706,おべとも学園[第5期],C3340,40,2012-04-03,2013-03-19
C14707,CARDFIGHT!! ヴァンガード アジアサーキット編,C4517,40,2012-04-01,2013-01-02
C14708,紙兎 ロペ 笑う朝には福来たるって マジっすか!?,C4698,561,2012-11-16,2016-12-29
C14709,神様 はじめました,C5548,13,2012-10-02,2012-12-25
C14710,かよえ! チュー学,C5549,370,2011-12-01,2014-03-28
C14711,カンピオーネ! ～まつろわぬ神々と神殺しの魔王～,C5550,13,2012-07-06,2012-09-28
C14712,きかんしゃトーマス,C2397,25,2012-04-08,2012-11-25
C14713,君と僕。2,C4579,13,2012-04-03,2012-06-26
C14714,境界線上のホライゾン　Ⅱ　Horizon on the Middle of Nowhere,C4577,13,2012-07-08,2012-09-30
C14716,キングダム,C5551,39,2012-06-03,2013-02-25
C14717,銀魂'[延長戦],C3079,13,2012-10-04,2013-03-28
C14718,クッキンアイドル　アイ!マイ!　まいん![第4期],C3495,85,2012-04-02,2013-03-22
C14719,黒子の バスケ,C5552,25,2012-04-08,2012-09-23
C14720,黒魔女さんが通る!!,C5553,60,2012-04-04,2014-02-12
C14721,恋と選挙とチョコレート,C5554,12,2012-07-06,2012-09-28
C14722,ゴーゴー!　マジムン,C5555,12,2012-01-07,2012-03-24
C14723,ココロ・コネクト,C5557,13,2012-07-08,2012-09-30
C14724,この中に1人、 妹がいる! Who is “IMOUTO“?,C5558,12,2012-07-06,2012-09-28
C14725,GON,C5559,50,2012-04-02,2013-03-25
C14726,咲 Saki 阿知賀編 episode of side-A,C3502,12,2012-04-09,2012-07-02
C14727,しまじろうのわお!,C1497,243,2012-04-02,2016-12-24
C14728,獣旋バトル モンスーノ,C5560,52,2012-10-03,2013-09-25
C14729,ジュエルペット きら★デコッ,C3521,52,2012-04-07,2013-03-30
C14730,ジョジョの 奇妙な冒険,C1553,26,2012-10-06,2013-04-06
C14731,新世界より,C5561,28,2012-09-22,2013-03-27
C14732,Zoobles　[シリーズ],C5535,34,2012-02-05,2012-09-27
C14733,スッキリ!!　×　映画　ひみつの　アッコちゃん　[～テクマクマヤコン　テクマクマヤコン　ステキなOLにな～れ!～],C1789,10,2012-08-20,2012-08-31
C14734,スマイルプリキュア!,C2833,48,2012-02-05,2013-01-27
C14735,ズモモ と ヌペペ,C5562,32,2012-04-03,2013-02-26
C14736,ZETMAN,C5563,13,2012-04-03,2012-06-26
C14737,ソードアート・オンライン,C5564,25,2012-07-08,2012-12-23
C14738,鷹の爪 NEO,C4246,36,2012-04-06,2013-01-25
C14739,黄昏乙女× アムネジア,C5565,10,2012-04-09,2012-06-11
C14740,たまごっち! ゆめキラドリーム,C2038,49,2012-09-10,2013-08-29
C14741,革命機　ヴァルヴレイヴ　Valvrave　the Liberator　[第1期],C5604,12,2013-04-12,2013-06-28
C14742,革命機　ヴァルヴレイヴ　Valvrave　the Liberator　[第2期],C5604,12,2013-10-11,2013-12-27
C14743,ガッ活!　[第2期],C4677,25,2013-01-12,2013-09-25
C14744,GATCHAMAN CROWDS,C2623,12,2013-07-13,2013-09-28
C14745,神さまの いない 日曜日,C5605,12,2013-07-07,2013-09-22
C14746,神のみぞ知るセカイ - 女神篇 -,C3694,12,2013-07-09,2013-09-24
C14747,ガラスの仮面 ですが,C6766,3,2013-04-07,2013-04-21
C14748,ガラスの仮面 ですが Z,C6766,14,2013-04-28,2013-07-28
C14749,DiABOLiK LOVERS,C5650,13,2013-09-16,2013-12-09
C14750,DD 北斗の拳,C6792,13,2013-04-03,2013-06-26
C14751,てーきゅう［第3期］,C4727,13,2013-10-06,2013-12-29
C14752,デート・ア・ライブ,C5651,12,2013-04-06,2013-06-22
C14753,てさぐれ! 部活もの,C5652,11,2013-10-06,2013-12-29
C14755,鉄人 28号 ガオ!,C3965,151,2013-04-06,2016-03-26
C14756,ドキ ドキ! プリキュア!,C2833,49,2013-02-03,2014-01-26
C14757,リトル・チャロ4 New York Again,C3339,35,2013-03-24,2013-11-27
C14758,リトルバスターズ!　～Refrain～,C4765,12,2013-10-05,2013-12-21
C14759,探検 ドリランド,C5566,37,2012-07-07,2013-03-30
C14760,ちとせ げっちゅ!![第1期],C5568,13,2012-07-02,2012-09-24
C14761,ちとせ げっちゅ!![第2期],C5568,13,2012-10-01,2012-12-24
C14762,超速変形 ジャイロゼッター,C5569,51,2012-10-02,2013-09-24
C14763,超訳百人一首 うた恋い。,C5570,13,2012-07-03,2012-09-25
C14764,超ロボット生命体 トランスフォーマー プライム,C6820,53,2012-04-07,2013-03-30
C14765,つり球,C5571,12,2012-04-13,2012-06-28
C14767,テルマエ・ロマエ,C5572,6,2012-01-13,2012-01-27
C14768,DOG DAYS',C4518,13,2012-07-07,2012-09-29
C14769,NARUTO SD[すごいどりょく] ロック・リーの 青春フルパワー忍伝,C2644,51,2012-04-03,2013-03-26
C14770,忍たま 乱太郎[第20期],C1462,90,2012-04-02,2012-11-14
C14772,薄桜鬼 新選組 奇譚 黎明録,C3654,13,2012-07-07,2012-09-25
C14773,バトルスピリッツ ソードアイズ,C3397,29,2012-09-09,2013-03-31
C14774,はなかっぱ[第3期],C3640,45,2012-03-07,2012-12-07
C14775,パブー ＆モジーズ,C5575,52,2012-04-02,2013-03-02
C14776,パンダの たぷたぷ,C5576,431,2012-04-02,2013-11-29
C14777,緋色の欠片 玉依 姫 奇譚 第二章,C4685,13,2012-09-30,2012-12-23
C14778,100分 de 名著,C5577,130,2011-12-07,2016-12-26
C14779,氷菓,C5579,22,2012-04-23,2012-09-17
C14780,ファイ・ブレイン 神のパズル[第2期],C4557,26,2012-04-05,2012-09-23
C14781,Fate/Zero,C3797,14,2012-03-25,2012-06-24
C14782,プリティー リズム ディア・マイ・フューチャー,C4486,51,2012-04-07,2013-03-30
C14783,ふるさと 再生 日本の昔ばなし,C5580,564,2012-04-01,2016-12-25
C14784,ポヨポヨ　観察日記,C5581,47,2012-01-08,2012-11-25
C14785,マジでオタクなイングリッシュ! りぼんちゃん 英語で戦う魔法少女 the TV,C5582,12,2012-07-31,2012-11-16
C14786,松本零士 オズマ,C5583,6,2012-03-17,2012-04-21
C14787,muv-luv alternative TOTAL ECLIPSE,C4660,26,2012-07-02,2012-12-24
C14788,めだか ボックス アブノーマル,C4691,12,2012-10-11,2012-12-27
C14789,メタルファイト ベイブレード ZEROG[ゼロジー],C2454,38,2012-04-08,2012-12-23
C14790,もやしもん リターンズ TALES OF AGRICULTURE,C3269,11,2012-07-06,2012-09-14
C14791,遊★戯★王ゼアルⅡ[セカンド] ZEXAL,C2116,76,2012-10-04,2014-03-23
C14792,ゆるめいつ　3でぃ　PLUS,C3590,13,2012-07-03,2012-09-25
C14793,ヨルムンガンド,C5584,12,2012-04-11,2012-06-27
C14794,ヨルムンガンド PERFECT ORDER,C5584,13,2012-10-03,2012-12-26
C14795,ライチ　☆[DE]　光クラブ,C5585,8,2012-10-02,2012-11-20
C14796,リコーダーと　ランドセル　レ♪,C4665,13,2012-04-04,2012-06-27
C14797,リトル・チャロ　～東北編～,C3339,13,2012-03-30,2012-09-26
C14799,あいうら,C5586,12,2013-04-10,2013-06-26
C14800,アウトブレイク・ カンパニー,C5587,12,2013-10-04,2013-12-20
C14801,蒼き鋼の アルペジオ -ARS NOVA-,C5588,12,2013-10-08,2013-12-24
C14802,惡の華,C5590,13,2013-04-05,2013-06-30
C14803,アニメ　おしりかじり虫[第2期],C4724,32,2013-09-30,2014-03-27
C14804,AMNESIA,C5591,12,2013-01-07,2013-03-25
C14806,石田 と あさくら,C5593,13,2013-04-06,2013-06-29
C14808,イナズマイレブン GO ギャラクシー,C3421,43,2013-05-08,2014-03-19
C14809,犬とハサミは 使いよう,C5594,12,2013-07-02,2013-09-17
C14810,IS インフィニット・ストラトス 2,C4520,12,2013-10-04,2013-12-20
C14811,ウサビッチ[第5期],C4313,14,2012-12-13,2013-07-20
C14812,宇宙戦艦 ヤマト 2199,C3157,26,2013-04-07,2013-09-29
C14813,うっかりペネロペ,C3928,13,2013-07-02,2013-09-24
C14814,俺の妹がこんなに　可愛いわけがない　[TRUE ROUTE スペシャル版],C4431,4,2012-12-06,2012-12-27
C14815,俺の彼女と 幼なじみが 修羅場すぎる,C5598,14,2012-12-30,2013-03-31
C14816,俺の脳内選択肢が、学園ラブコメを全力で邪魔している,C5599,10,2013-10-10,2013-12-12
C14817,CARDFIGHT!! ヴァンガード リンクジョーカー編,C4517,59,2013-01-13,2014-03-02
C14818,カーニヴァル,C5602,13,2013-04-04,2013-06-27
C14819,ガイスト クラッシャー,C5603,36,2013-10-02,2014-06-18
C14820,ガリレイドンナ Storia di tre sorelle a caccia di un mistero,C5606,11,2013-10-11,2013-12-20
C14821,ガンダム ビルドファイターズ,C5607,25,2013-10-07,2014-03-31
C14822,がんばれ! おでんくん LILY FRANKY PRESENTS The Adventure of Oden-kun,C3015,103,2013-01-12,2014-12-28
C14824,がんばれ! ルル ロロ TINY★TWIN★BEARS,C4636,26,2013-01-17,2013-02-21
C14825,君のいる町,C4739,12,2013-07-13,2013-09-28
C14826,境界の彼方,C5611,12,2013-10-03,2013-12-19
C14827,京騒戯画,C5613,13,2013-10-03,2013-12-26
C14828,きょうの料理　ビギナーズ　[第7期],C4287,32,2013-12-02,2014-03-13
C14829,キルラキル,C5614,24,2013-10-04,2014-03-28
C14830,銀河機攻隊 マジェスティック プリンス,C5615,25,2013-04-04,2013-09-19
C14831,ぎんぎつね,C5616,12,2013-10-07,2013-12-23
C14832,キングダム[第1期][総集編],C5551,13,2013-03-04,2013-06-01
C14833,キングダム[第2期],C5551,39,2013-06-08,2014-03-02
C14834,銀の匙 Silver Spoon,C5617,11,2013-07-12,2013-09-20
C14835,GJ部[グッジョぶ],C5618,12,2013-01-10,2013-03-28
C14836,黒子の バスケ[第2期],C5552,26,2013-10-01,2014-03-30
C14837,血液型くん!,C5619,13,2013-04-07,2013-06-30
C14839,幻影ヲ駆ケル太陽 il sole penetra le illusioni,C5621,14,2013-06-28,2013-10-03
C14840,ゴールデンタイム,C5622,24,2013-10-04,2014-03-28
C14842,古代紀行ドキュメンタリー　古事記の世界　CGアニメでひも解く　日本誕生物語[実写併用],C5625,2,2013-06-22,2013-08-03
C14843,COPPELION,C5626,13,2013-10-02,2013-12-25
C14844,The hired gun 殺し屋 さん,C5627,10,2013-10-11,2013-12-13
C14845,サーバント×サービス,C5628,14,2013-07-05,2013-09-27
C14846,最強銀河 究極[アルティメット] ゼロ バトルスピリッツ,C3397,50,2013-09-15,2014-09-21
C14847,サムライフラメンコ,C5629,22,2013-10-11,2014-03-28
C14848,島耕作の　アジア立志伝[第1期],C4582,9,2013-03-28,2013-11-08
C14849,島耕作の アジア立志伝[第2期],C4582,10,2013-11-13,2014-02-05
C14850,ジュエルペット ハッピネス,C3521,52,2013-04-06,2014-03-29
C14851,翠星のガルガンティア,C5630,13,2013-04-09,2013-07-02
C14852,Super Seishun Brothers -超青春姉弟s-,C5631,14,2013-09-14,2013-12-14
C14853,すすめ! キッチン戦隊 クックルン,C5632,20,2013-04-01,2013-05-30
C14854,ステラ 女学院高等科 C3〔しーきゅーぶ〕※,C5633,13,2013-07-05,2013-09-27
C14855,ストライク・ザ・ブラッド,C5635,25,2013-10-04,2014-03-28
C14856,スパロウズ　ホテル　[第1期],C5636,6,2013-04-09,2013-05-14
C14857,スパロウズ　ホテル　[第2期],C5636,6,2013-05-21,2013-06-25
C14858,生徒会の一存 Lv.2,C3565,10,2013-01-10,2013-03-14
C14859,声優戦隊 ボイストーム7,C5637,8,2013-10-06,2013-11-24
C14860,世界で いち ばん 強く なりたい!,C5638,12,2013-10-06,2013-12-22
C14861,絶対防衛 レヴィアタン,C5639,14,2013-04-06,2013-07-06
C14862,"戦姫絶唱 シンフォギアG In the distance,that day,when the star become music.",C4483,13,2013-07-05,2013-09-27
C14863,戦勇。[第1期],C5640,13,2013-01-09,2013-04-03
C14864,戦勇。[第2期],C5640,13,2013-07-03,2013-09-25
C14865,大怪獣ラッシュ ULTRA FRONTIER,C4490,5,2013-09-18,2013-10-16
C14866,ダイヤのA[エース],C5641,75,2013-10-06,2015-03-29
C14867,D.C.Ⅲ ～ダ・カーポⅢ～,C2739,13,2013-01-05,2013-03-30
C14868,鷹の爪 MAX,C4246,32,2013-04-05,2013-11-29
C14869,たまごっち! みらくるフレンズ,C2038,29,2013-09-05,2014-03-27
C14870,ダンガンロンパ THE ANIMATION 希望の学園と絶望の高校生,C5642,13,2013-07-05,2013-09-27
C14871,探検 ドリランド -1000年の真宝[まほう]-,C5566,51,2013-04-06,2014-03-29
C14872,断裁分離の クライムエッジ,C5643,13,2013-04-06,2013-06-29
